scenario,family_x,family_y,best_k_by_bic_mean,k_true,selected_correctly,bic_at_k1,bic_at_k2,bic_at_k3,bic_at_k4,bic_at_k5,bic_at_k6,bic_at_k7,bic_at_k8,bic_at_k9,note
A,poisson,bernoulli,3,3,True,20939.15493439379,18544.15484931934,16459.61606621786,16796.46117302156,17136.268215743174,17473.139115379192,17828.663732983434,18196.369895424374,18584.204219205192,"fixed_official k1to9 combined, BIC mean over 10 trials"
B,gaussian,poisson,3,3,True,44015.69351831411,37689.41573087186,32224.020393172657,32528.597354466525,32860.37888638151,33207.36274566121,33550.165324813104,33917.66215245527,34274.169696059944,"fixed_official k1to9 combined, BIC mean over 10 trials"
C,bernoulli,gaussian,3,3,True,6134.926609181711,-1967.3267019928603,-36228.38578822678,-35902.66924995198,-35579.42486914074,-35262.986437673564,-34937.14802808549,-34614.94993815264,-34308.728426991554,"fixed_official k1to9 combined, BIC mean over 10 trials"
